sample_index,adc_value
0,722
1,94
2,0
3,0
4,1083
5,1431
6,501
7,0
8,0
9,0
10,0
11,0
12,715
13,849
14,280
15,0
16,0
17,0
18,485
19,881
20,577
21,126
22,43
23,194
24,177
25,5
26,50
27,381
28,548
29,311
30,0
31,0
32,55
33,374
34,356
35,168
36,75
37,153
38,251
39,228
40,123
41,114
42,196
43,298
44,283
45,150
46,55
47,101
48,174
49,208
50,219
51,221
52,194
53,128
54,81
55,82
56,73
57,16
58,0
59,28
60,109
61,134
62,139
63,151
64,154
65,119
66,83
67,112
68,197
69,219
70,162
71,152
72,207
73,220
74,136
75,39
76,46
77,131
78,155
79,116
80,109
81,154
82,182
83,167
84,154
85,170
86,183
87,171
88,162
89,166
90,147
91,102
92,95
93,138
94,178
95,163
96,120
97,101
98,104
99,102
100,105
101,148
102,217
103,242
104,179
105,79
106,21
107,39
108,100
109,148
110,151
111,112
112,58
113,45
114,98
115,173
116,220
117,216
118,178
119,133
120,98
121,83
122,106
123,157
124,190
125,170
126,117
127,87
128,108
129,149
130,172
131,169
132,155
133,138
134,129
135,129
136,142
137,162
138,170
139,156
140,132
141,111
142,106
143,123
144,144
145,156
146,159
147,149
148,121
149,89
150,82
151,114
152,154
153,169
154,160
155,142
156,125
157,111
158,106
159,124
160,151
161,156
162,134
163,112
164,112
165,131
166,145
167,148
168,149
169,158
170,160
171,141
172,118
173,118
174,145
175,171
176,173
177,149
178,125
179,123
180,143
181,173
182,189
183,178
184,146
185,114
186,107
187,129
188,151
189,148
190,123
191,106
192,109
193,115
194,112
195,108
196,118
197,139
198,148
199,131
200,96
201,74
202,89
203,127
204,156
205,165
206,152
207,130
208,115
209,121
210,147
211,173
212,186
213,181
214,173
215,167
216,163
217,154
218,150
219,158
220,168
221,163
222,143
223,127
224,125
225,134
226,144
227,145
228,140
229,130
230,126
231,133
232,148
233,155
234,148
235,138
236,137
237,149
238,161
239,165
240,163
241,162
242,158
243,149
244,141
245,142
246,155
247,165
248,163
249,154
250,145
251,146
252,157
253,169
254,167
255,155
256,146
257,146
258,155
259,163
260,161
261,153
262,141
263,136
264,137
265,144
266,154
267,160
268,160
269,150
270,142
271,141
272,145
273,149
274,144
275,135
276,131
277,129
278,131
279,138
280,144
281,148
282,141
283,131
284,126
285,132
286,140
287,141
288,134
289,129
290,129
291,130
292,129
293,132
294,133
295,131
296,124
297,124
298,132
299,136
300,134
301,133
302,137
303,143
304,142
305,133
306,130
307,134
308,139
309,136
310,135
311,136
312,139
313,132
314,124
315,123
316,131
317,140
318,142
319,136
320,132
321,131
322,134
323,138
324,142
325,139
326,132
327,129
328,133
329,139
330,139
331,134
332,132
333,132
334,137
335,138
336,137
337,134
338,131
339,130
340,131
341,134
342,134
343,134
344,132
345,132
346,135
347,138
348,137
349,137
350,136
351,133
352,131
353,129
354,132
355,136
356,137
357,139
358,138
359,133
360,131
361,136
362,142
363,148
364,146
365,144
366,143
367,140
368,142
369,146
370,151
371,150
372,145
373,136
374,134
375,136
376,136
377,135
378,135
379,133
380,129
381,128
382,132
383,137
384,133
385,124
386,124
387,133
388,146
389,148
390,143
391,138
392,140
393,147
394,152
395,151
396,149
397,147
398,149
399,150
400,149
401,144
402,142
403,144
404,146
405,147
406,143
407,141
408,141
409,143
410,143
411,145
412,143
413,140
414,137
415,136
416,137
417,138
418,139
419,136
420,131
421,125
422,126
423,129
424,132
425,132
426,130
427,130
428,132
429,133
430,131
431,132
432,132
433,132
434,128
435,129
436,128
437,128
438,123
439,122
440,127
441,129
442,128
443,123
444,123
445,128
446,131
447,130
448,130
449,128
450,125
451,125
452,128
453,131
454,134
455,135
456,133
457,132
458,134
459,135
460,137
461,137
462,137
463,135
464,131
465,131
466,131
467,133
468,130
469,129
470,129
471,130
472,130
473,130
474,129
475,131
476,132
477,134
478,135
479,135
480,135
481,134
482,136
483,138
484,138
485,133
486,132
487,133
488,135
489,134
490,137
491,138
492,139
493,139
494,141
495,143
496,141
497,140
498,142
499,146
500,149
501,145
502,138
503,137
504,138
505,138
506,136
507,135
508,134
509,133
510,134
511,135
